,Compound,Date,Negative,Neutral,Positive,Text
51,-0.7003,Thu Jul 05 15:36:29 +0000 2018,0.766,0.234,0.0,"At least two suspected rhino poachers have been mauled to death and eaten by lions on a South African game reserve,… https://t.co/m8V0TpFjsd"
52,-0.25,Thu Jul 05 14:02:04 +0000 2018,0.669,0.205,0.126,🌡🔥☀️From strength to bad breath: these are the weird things that happen to your body in extreme heat. 👉… https://t.co/sSsoIgrD5S
53,0.8428,Thu Jul 05 13:00:14 +0000 2018,0.57,0.0,0.43,😍💗 Wouldn't the world be a better place if more people were kind like this? https://t.co/2v0UXIcXN8
54,0.0,Thu Jul 05 12:00:01 +0000 2018,1.0,0.0,0.0,"🛍🛒 Is it possible to shop without buying plastic?
#PlasticsAction https://t.co/nV0kMA6UzE"
55,0.0,Thu Jul 05 11:32:57 +0000 2018,0.66,0.153,0.188,RT @bbcstories: Indian-born Dennis Moss was inspired by tragedy to join the Welsh Ambulance Service in 1976 - and he's still working there…
56,0.7289,Thu Jul 05 11:32:26 +0000 2018,0.746,0.0,0.254,"RT @bbcthesocial: Go to a festival without destroying the planet 🌍

(you might need to ditch the glitter) https://t.co/RnlRy4lwjC"
57,-0.872,Thu Jul 05 11:26:56 +0000 2018,0.571,0.371,0.057,RT @bbcthree: Jack tragically died whilst playing the choking game. Now his mum wants to warn other YouTubers before it's too late. https:/…
58,-0.6908,Thu Jul 05 11:22:56 +0000 2018,0.808,0.192,0.0,"RT @BBCNews: ""We knew we didn't have to be frightened of being ill""

Beryl had life-saving treatment on the NHS just weeks after it began #…"
59,0.6486,Thu Jul 05 11:11:25 +0000 2018,0.806,0.0,0.194,RT @BBCWales: Staff from across the #NHS in Wales come together to create a one-off #NHSLipSync of Jess Glynne's song Hold My Hand for #NHS…
60,0.0,Thu Jul 05 11:03:07 +0000 2018,1.0,0.0,0.0,From a true-crime tale of 1930s Shanghai to a contemporary Native American poetry collection: these are the ten boo… https://t.co/y5fZIoxLqa
61,0.0,Thu Jul 05 09:46:36 +0000 2018,1.0,0.0,0.0,"RT @BBC6Music: ""We need to radically look at mental health as the key thing""
- best-selling author and mental health activist @matthaig1 sp…"
62,0.0,Thu Jul 05 08:00:04 +0000 2018,1.0,0.0,0.0,🐚🦕 She sold sea shells by the sea shore... and helped discover dinosaurs in the process! https://t.co/Pdh5RwpAwr
63,-0.296,Thu Jul 05 07:31:03 +0000 2018,0.845,0.155,0.0,🙊📱💬Will we ever stop speaking and just text instead? @BBC_Culture investigates...  https://t.co/Mp1yApI6C5 https://t.co/e21jsc4lrb
64,-0.8807,Thu Jul 05 07:01:05 +0000 2018,0.673,0.327,0.0,"Chloe died of bone cancer at 18 after she was refused a drug trial for being too young. Now, her mum Debbie is tryi… https://t.co/Fz1R6aiqJC"
65,0.9393,Wed Jul 04 19:03:04 +0000 2018,0.439,0.0,0.561,"Award-winning comedian Rich Hall explores the American dream. 🇺🇸

Rich Hall's Working for the American Dream | 9pm… https://t.co/cwNFVC4hGk"
66,-0.5103,Wed Jul 04 18:02:03 +0000 2018,0.535,0.321,0.144,The Dutch have a prison problem - too many cells and not enough prisoners. https://t.co/uIZ69q8dlF
67,0.6597,Wed Jul 04 16:52:02 +0000 2018,0.631,0.086,0.284,😂 'Some people say policing in the country is a bit like #HotFuzz'. https://t.co/eOdStnQLN3
68,-0.296,Wed Jul 04 16:02:01 +0000 2018,0.855,0.145,0.0,"💃 Meet the incredible 23-year-old @SherrieSilver, who choreographed Childish Gambino's #ThisIsAmerica video. https://t.co/jUFLCUBXdl"
69,0.0,Wed Jul 04 14:27:00 +0000 2018,1.0,0.0,0.0,"RT @BBCWthrWatchers: If you find a pot of gold at the end of a regular rainbow, what do you get at the end of a rare #fogbow? 🤔 

Tomasz @S…"
70,0.0,Wed Jul 04 14:04:05 +0000 2018,1.0,0.0,0.0,When this couple went into hospital for the birth of their baby it wasn't just mum who had an eventful night... dad… https://t.co/5FFq82YPZm
71,-0.8934,Wed Jul 04 13:01:25 +0000 2018,0.526,0.474,0.0,RT @BBCFOUR: Every Olympic athlete has battles to fight. Gymnast Margarita Mamun had to fight a war. https://t.co/cpsI8CyybU
72,0.7964,Wed Jul 04 12:34:02 +0000 2018,0.645,0.068,0.287,"""Y'alright love?""

😂 This crow has a Yorkshire accent and it's the best thing you'll hear today. https://t.co/3J8BQGiZM7"
73,0.6114,Wed Jul 04 12:01:08 +0000 2018,0.6,0.0,0.4,"🔊🐟🐡🐬🐠 
 The sea is a wonderful place!  https://t.co/AFvOD3y9Os"
74,0.0,Wed Jul 04 11:01:08 +0000 2018,1.0,0.0,0.0,"For the first time, astronomers have captured an image of a planet that's still forming. 🔭🌟📸
https://t.co/WoDnm1SdVj https://t.co/Kq6llPJGLZ"
75,-0.802,Wed Jul 04 10:17:15 +0000 2018,0.725,0.275,0.0,A US hunter has come under criticism after pictures taken in South Africa of her posing with a dead giraffe went vi… https://t.co/dYhxZkOuUH
76,0.7351,Wed Jul 04 08:00:11 +0000 2018,0.592,0.0,0.408,🎸 This amazing human learnt to play guitar with a hook. https://t.co/GaTQ0FDpF4
77,-0.4019,Wed Jul 04 07:23:02 +0000 2018,0.87,0.13,0.0,Lung cancer is commonly associated with smoking. But rates of the disease among non-smokers – and women – are risin… https://t.co/vYe3Cct7bp
78,0.34,Wed Jul 04 07:00:12 +0000 2018,0.789,0.0,0.211,🎹🎶 Colette has played the piano for over a century. https://t.co/MeTB1jsYm8
79,0.6597,Tue Jul 03 21:01:39 +0000 2018,0.646,0.102,0.252,"RT @BBCMOTD: #ENG have won a #WorldCup penalty shootout for the first time in the nation's history.

We repeat: England have won a #WorldCu…"
80,-0.3182,Tue Jul 03 20:55:51 +0000 2018,0.905,0.095,0.0,"RT @BBCMOTD: argentIna knocked ouT
Spain lost to the hosts
france COnceded three 
gerMany have been elimINated
portuGal on tHe plane back t…"
81,0.2023,Tue Jul 03 19:32:04 +0000 2018,0.917,0.0,0.083,"Tonight, Joe Swift and @jowhiley take a look at what's in store at the RHS Hampton Court Palace Flower Show. 🌸💐🌷🏰… https://t.co/zaFy1lN26l"
82,-0.5106,Tue Jul 03 18:00:25 +0000 2018,0.752,0.248,0.0,"Don't let anyone tell you your pain is normal. 
#Endometriosis https://t.co/Iq5UWFYcto"
83,0.4019,Tue Jul 03 17:01:03 +0000 2018,0.753,0.067,0.18,"'Turning 30 is like playing musical chairs. The music stops, and everyone just marries whoever they happen to be si… https://t.co/fsuTCD3AS6"
84,0.0,Tue Jul 03 16:00:18 +0000 2018,1.0,0.0,0.0,"🗣⚽️ Why is football so full of cliches? 
#WorldCup https://t.co/mMe3p1ibrB"
85,0.128,Tue Jul 03 15:21:59 +0000 2018,0.923,0.0,0.077,"🍓🎾 A young David Attenborough discusses the beginning of regular colour TV in Britain, launched at #Wimbledon in 19… https://t.co/wUeuqWXGVT"
86,0.6808,Tue Jul 03 15:07:30 +0000 2018,0.547,0.124,0.328,"RT @BBCWorld: ""Today is the best day""

Families celebrate as rescuers reach boys trapped in Thailand cave https://t.co/61s78f6ZXk https://t…"
87,0.0,Tue Jul 03 14:23:58 +0000 2018,1.0,0.0,0.0,"RT @BBCWales: The story of Aneurin Bevan in 70 seconds. 
#NHS70 https://t.co/TKtkWEjohJ"
88,-0.6705,Tue Jul 03 14:03:05 +0000 2018,0.8,0.2,0.0,"😨🐙🔮 A 'psychic' octopus, who correctly predicted all of Japan's World Cup results, has been killed and turned into… https://t.co/zeebvUYUfl"
89,0.5411,Tue Jul 03 12:19:44 +0000 2018,0.811,0.0,0.189,RT @BBCTwo: Look at these INCREDIBLE desserts inspired by #Wimbledon! 😋 🎾 #GreatBritishMenu https://t.co/8rPzAAnSgT
90,0.2732,Tue Jul 03 12:00:20 +0000 2018,0.861,0.0,0.139,"😍🦔 Meet Arbuckle... he's adorable, but he could be the world's fattest hedgehog. https://t.co/Svgc7oLBcx"
91,0.0,Tue Jul 03 11:31:42 +0000 2018,1.0,0.0,0.0,We're using around 9 billion fewer plastic bags now they cost 5p each... but there's still more to be done.… https://t.co/dYXaZ2YFI8
92,0.128,Tue Jul 03 11:02:04 +0000 2018,0.903,0.0,0.097,"👔 A Japanese company has launched a line of business suits specifically for blue-collar workers.
👉… https://t.co/mKOTswtAi1"
93,-0.9028,Tue Jul 03 09:37:17 +0000 2018,0.604,0.396,0.0,"RT @1Xtra: What's worse; scoring an own goal or having a DEAD trim?

@NickBrightDJ @CheekySport &amp; @MrBigzOfficial weren't happy with Sergio…"
94,0.0,Tue Jul 03 08:00:15 +0000 2018,1.0,0.0,0.0,❤️ This man is cleaning all 388 Holocaust plaques in his city. https://t.co/AfdxFBxxJ4
95,0.8541,Tue Jul 03 07:26:06 +0000 2018,0.67,0.0,0.33,"🎨🐠 Are we really the only creatures on Earth capable of delighting in beauty? Or can animals be artists too?
👉… https://t.co/9tZ0X8jyqb"
96,0.0,Tue Jul 03 07:01:02 +0000 2018,1.0,0.0,0.0,Why scientists are counting seal pups in the Thames Estuary. https://t.co/GfMjrwpzPH
97,0.0,Mon Jul 02 19:01:05 +0000 2018,1.0,0.0,0.0,A golden retriever named Todd has been labelled a 'hero' after he was bitten by rattlesnake while protecting his ow… https://t.co/jwSa2knHKj
98,-0.128,Mon Jul 02 18:01:05 +0000 2018,0.914,0.086,0.0,"This woman is cutting out the middle man and working directly with Indian farmers.

(via @BBCThree) https://t.co/faRaW27jTp"
99,0.1027,Mon Jul 02 16:13:24 +0000 2018,0.806,0.089,0.105,"12 boys and their football coach have been found alive after nine days missing in caves in Thailand, the regional g… https://t.co/435VAvqUN9"
100,0.4019,Fri Jul 06 22:22:55 +0000 2018,0.847,0.0,0.153,"RT @SalvationCBS: Mark your calendars, #Salvies: Monday's new #SalvationCBS will air at a special time, 10/9c. https://t.co/RUh1J7cfj8"
101,0.8622,Fri Jul 06 18:26:37 +0000 2018,0.61,0.0,0.39,Happy #InternationalKissingDay! See which stars we caught locking lips on the CBS Kiss Cam. 😘 https://t.co/oMPCHZlgCl
102,0.3612,Thu Jul 05 21:12:17 +0000 2018,0.898,0.0,0.102,Have you heard? Tonight's the first Live Show of #BB20. Grab a seat and get ready to watch the action unfold on CBS… https://t.co/0YgRV1HLGd
103,0.3182,Mon Jul 02 21:13:11 +0000 2018,0.892,0.0,0.108,"How much does it cost to bury the truth? #OneDollar premieres Thursday, August 30, exclusively on CBS All Access.… https://t.co/1tab8eCaFz"
104,0.0,Mon Jul 02 20:47:32 +0000 2018,1.0,0.0,0.0,Take a first look at our @Comic_Con lineup along with details of what you can expect to see:… https://t.co/JqBtlKcwq3
105,0.0,Mon Jul 02 17:27:06 +0000 2018,1.0,0.0,0.0,RT @TrueCrimeCBS: Two new true-crime series are set to premiere this July on CBS! Learn more about #Whistleblower and #PinkCollarCrimes bef…
106,0.5411,Mon Jul 02 17:00:02 +0000 2018,0.741,0.0,0.259,"If at first you don’t succeed on @PriceIsRight…bid, bid again! https://t.co/OWBaOsFZ3i"
107,0.0,Wed Jun 27 20:31:32 +0000 2018,1.0,0.0,0.0,What’s summer without @CBSBigBrother? ☀️ RT if you’re counting down the hours to the #BB20 premiere TONIGHT at 8/7c… https://t.co/Xp1s4Fp5J8
108,0.7574,Wed Jun 27 14:00:01 +0000 2018,0.711,0.0,0.289,"It looks like you...

(•_•)
( •_•)&gt;⌐■-■
(⌐■_■)

Have a lot of TV to watch!

Celebrate #NationalSunglassesDay with H… https://t.co/Babt4ajIgV"
109,0.5574,Mon Jun 25 18:20:25 +0000 2018,0.796,0.0,0.204,The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY
110,0.1867,Fri Jun 22 21:19:06 +0000 2018,0.902,0.0,0.098,Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a
111,0.4199,Fri Jun 22 18:33:53 +0000 2018,0.811,0.0,0.189,"Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw"
112,0.4926,Thu Jun 21 23:29:50 +0000 2018,0.803,0.0,0.197,"Lights, camera, selfie! 📸 Could there be a better photo for #NationalSelfieDay? https://t.co/14Ewx64yKC"
113,0.3555,Wed Jun 20 00:39:01 +0000 2018,0.68,0.122,0.199,There’s nothing quite like watching a contestant win a brand new car on @PriceIsRight. 👏  https://t.co/aKlFikYAMM
114,0.0,Mon Jun 18 20:27:50 +0000 2018,1.0,0.0,0.0,Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk
115,0.0,Mon Jun 18 15:00:46 +0000 2018,1.0,0.0,0.0,RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…
116,0.9392,Sun Jun 17 13:00:01 +0000 2018,0.507,0.0,0.493,"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH"
117,0.3595,Fri Jun 15 18:48:29 +0000 2018,0.872,0.0,0.128,"Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n"
118,-0.296,Thu Jun 14 17:30:00 +0000 2018,0.833,0.167,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/h3YnFkmSQJ"
119,0.1779,Thu Jun 14 16:19:32 +0000 2018,0.734,0.12,0.147,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https…
120,-0.5562,Tue Jun 12 00:19:23 +0000 2018,0.551,0.315,0.134,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn"
121,0.5093,Mon Jun 11 22:23:06 +0000 2018,0.829,0.0,0.171,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…"
122,-0.296,Mon Jun 11 19:01:38 +0000 2018,0.833,0.167,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa"
123,0.0,Mon Jun 11 14:00:37 +0000 2018,1.0,0.0,0.0,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT
124,0.0,Mon Jun 11 06:19:36 +0000 2018,1.0,0.0,0.0,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r
125,0.4767,Mon Jun 11 06:04:41 +0000 2018,0.78,0.0,0.22,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej
126,0.8478,Mon Jun 11 03:10:33 +0000 2018,0.594,0.0,0.406,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH
127,0.92,Mon Jun 11 03:02:06 +0000 2018,0.537,0.0,0.463,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH
128,0.4404,Mon Jun 11 02:58:30 +0000 2018,0.737,0.088,0.175,"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…"
129,0.4404,Mon Jun 11 02:56:40 +0000 2018,0.847,0.0,0.153,RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better 😍🤩
130,0.836,Mon Jun 11 02:56:10 +0000 2018,0.533,0.0,0.467,Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5
131,0.0,Mon Jun 11 02:53:00 +0000 2018,1.0,0.0,0.0,The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn
132,0.6369,Mon Jun 11 02:47:29 +0000 2018,0.682,0.0,0.318,RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.
133,0.7978,Mon Jun 11 02:44:50 +0000 2018,0.457,0.0,0.543,Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq
134,0.9523,Mon Jun 11 02:44:37 +0000 2018,0.484,0.0,0.516,The feeling when you win a Tony. 🙌 Congratulations to Once on This Island for winning Best Revival of a Musical!… https://t.co/UpFCqgBTwh
135,0.5994,Mon Jun 11 02:33:09 +0000 2018,0.698,0.0,0.302,What a beautiful performance by the cast of #TheBandsVisit. #TonyAwards https://t.co/4Hw96kZvrf
136,0.4215,Mon Jun 11 02:29:18 +0000 2018,0.877,0.0,0.123,"""I'm a living example of how theatre can change you - and it didn't just change me, it saved me."" @JohnLeguizamo at… https://t.co/4ICwMhb6hv"
137,0.8932,Mon Jun 11 02:23:56 +0000 2018,0.483,0.0,0.517,Angels in America takes the win for Best Revival of a Play! #TonyAwards https://t.co/zodW61tw8a
138,0.0,Mon Jun 11 02:21:03 +0000 2018,1.0,0.0,0.0,"RT @leahableson: The Once On This Island Goat And Chicken made it to the broadcast, Mama WILL provide #TonyAwards"
139,0.0,Mon Jun 11 02:16:06 +0000 2018,1.0,0.0,0.0,That performance was the GOAT. #TonyAwards https://t.co/mtoU92HipQ
140,0.8908,Mon Jun 11 02:11:03 +0000 2018,0.509,0.0,0.491,Harry Potter and the Cursed Child wins Best Play at the #TonyAwards! @HPPlayNYC https://t.co/WIqJQmtAlN
141,0.0,Mon Jun 11 02:05:47 +0000 2018,1.0,0.0,0.0,🎶 “Let's dance this last dance tonight.” 🎶 #TonyAwards #DonnaSummerMusical https://t.co/UAIaglChfv
